subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
All polls,3/29/2018,46.43214,51.61189,41.2524,39.69197,44.1911,35.19283,09:17:11 29 Mar 2018
Adults,3/28/2018,42.81313,47.89247,37.7338,35.48725,40.60847,30.36603,11:56:11 28 Mar 2018
Voters,3/28/2018,46.3028,51.47417,41.13143,39.12649,43.44955,34.80342,11:56:14 28 Mar 2018
All polls,3/28/2018,46.33187,51.47103,41.19271,39.22669,43.53702,34.91637,11:56:10 28 Mar 2018
Voters,3/27/2018,46.33796,51.46814,41.20778,39.59048,43.88398,35.29699,21:44:14 27 Mar 2018
Adults,3/27/2018,42.81313,47.89247,37.7338,35.48725,40.60847,30.36603,21:44:11 27 Mar 2018
All polls,3/27/2018,46.36264,51.45802,41.26727,39.67163,43.95105,35.39221,21:44:10 27 Mar 2018
All polls,3/26/2018,45.96582,50.90679,41.02485,40.32611,44.56606,36.08617,18:00:15 26 Mar 2018
Adults,3/26/2018,42.84486,48.09967,37.59006,35.25599,40.6145,29.89747,18:00:16 26 Mar 2018
Voters,3/26/2018,45.94245,50.92178,40.96312,40.26101,44.51697,36.00505,18:00:19 26 Mar 2018
Voters,3/25/2018,45.94245,50.92178,40.96312,40.26101,44.51697,36.00505,14:25:14 25 Mar 2018
Adults,3/25/2018,42.84486,48.09967,37.59006,35.25599,40.6145,29.89747,14:25:11 25 Mar 2018
All polls,3/25/2018,45.96582,50.90679,41.02485,40.32611,44.56606,36.08617,14:25:10 25 Mar 2018
Adults,3/24/2018,42.68541,48.29327,37.07755,36.91462,42.2861,31.54315,18:00:15 24 Mar 2018
Voters,3/24/2018,46.14967,51.27565,41.02369,40.64399,44.76989,36.51808,18:00:18 24 Mar 2018
All polls,3/24/2018,46.18003,51.26189,41.09817,40.69614,44.80613,36.58615,18:00:14 24 Mar 2018
Adults,3/23/2018,42.68541,48.29327,37.07755,36.91462,42.2861,31.54315,12:53:11 23 Mar 2018
Voters,3/23/2018,46.14967,51.27565,41.02369,40.64399,44.76989,36.51808,12:53:14 23 Mar 2018
All polls,3/23/2018,46.18003,51.26189,41.09817,40.69614,44.80613,36.58615,12:53:10 23 Mar 2018
Voters,3/22/2018,47.27796,52.54081,42.01512,41.09716,45.35023,36.84408,18:00:18 22 Mar 2018
Adults,3/22/2018,42.68541,48.29327,37.07755,36.91462,42.2861,31.54315,18:00:15 22 Mar 2018
All polls,3/22/2018,47.29145,52.50372,42.07919,41.11187,45.34308,36.88066,18:00:14 22 Mar 2018
Adults,3/21/2018,42.68541,48.29327,37.07755,36.91462,42.2861,31.54315,15:08:10 21 Mar 2018
Voters,3/21/2018,47.27796,52.54081,42.01512,41.09716,45.35023,36.84408,15:08:13 21 Mar 2018
All polls,3/21/2018,47.29145,52.50372,42.07919,41.11187,45.34308,36.88066,15:08:09 21 Mar 2018
Adults,3/20/2018,42.68541,48.29327,37.07755,36.91462,42.2861,31.54315,16:44:12 20 Mar 2018
Voters,3/20/2018,47.73118,53.16765,42.2947,39.77099,43.72965,35.81233,16:44:14 20 Mar 2018
All polls,3/20/2018,47.70512,53.07434,42.3359,39.76773,43.70419,35.83126,16:44:10 20 Mar 2018
Voters,3/19/2018,48.52928,53.83435,43.22421,39.13672,43.17956,35.09389,18:00:20 19 Mar 2018
Adults,3/19/2018,43.91052,49.58617,38.23487,36.38179,42.00848,30.7551,18:00:17 19 Mar 2018
All polls,3/19/2018,48.47146,53.70952,43.2334,39.13864,43.15397,35.12331,18:00:16 19 Mar 2018
Voters,3/18/2018,48.52928,53.83435,43.22421,39.13672,43.17956,35.09389,11:49:12 18 Mar 2018
Adults,3/18/2018,43.91052,49.58617,38.23487,36.38179,42.00848,30.7551,11:49:10 18 Mar 2018
All polls,3/18/2018,48.47146,53.70952,43.2334,39.13864,43.15397,35.12331,11:49:08 18 Mar 2018
Adults,3/17/2018,43.91052,49.58617,38.23487,36.38179,42.00848,30.7551,18:00:14 17 Mar 2018
Voters,3/17/2018,48.05534,53.33086,42.77982,39.24253,43.32614,35.15892,18:00:17 17 Mar 2018
All polls,3/17/2018,48.00811,53.20744,42.80878,39.28114,43.33447,35.22781,18:00:13 17 Mar 2018
Voters,3/16/2018,48.05534,53.33086,42.77982,39.24253,43.32614,35.15892,15:16:13 16 Mar 2018
Adults,3/16/2018,43.91052,49.58617,38.23487,36.38179,42.00848,30.7551,15:16:11 16 Mar 2018
All polls,3/16/2018,48.00811,53.20744,42.80878,39.28114,43.33447,35.22781,15:16:09 16 Mar 2018
Adults,3/15/2018,43.09925,48.99407,37.20443,36.68966,42.40466,30.97465,18:00:17 15 Mar 2018
Voters,3/15/2018,47.78513,53.11493,42.45534,39.26789,43.34658,35.18919,18:00:20 15 Mar 2018
All polls,3/15/2018,47.741,52.99044,42.49157,39.29823,43.34483,35.25164,18:00:16 15 Mar 2018
Adults,3/14/2018,43.09925,48.99407,37.20443,36.68966,42.40466,30.97465,10:17:11 14 Mar 2018
Voters,3/14/2018,47.78513,53.11493,42.45534,39.26789,43.34658,35.18919,10:17:13 14 Mar 2018
All polls,3/14/2018,47.741,52.99044,42.49157,39.29823,43.34483,35.25164,10:17:09 14 Mar 2018
Voters,3/13/2018,47.65078,53.04579,42.25578,39.13798,43.26144,35.01451,15:52:14 13 Mar 2018
Adults,3/13/2018,43.09925,48.99407,37.20443,36.68966,42.40466,30.97465,15:52:12 13 Mar 2018
All polls,3/13/2018,47.59415,52.90178,42.28653,39.15777,43.24451,35.07103,15:52:10 13 Mar 2018
Voters,3/12/2018,47.22894,52.67988,41.778,39.48845,43.51272,35.46417,18:00:19 12 Mar 2018
Adults,3/12/2018,43.23603,49.20794,37.26413,37.52194,43.2176,31.82629,18:00:17 12 Mar 2018
All polls,3/12/2018,47.17631,52.52515,41.82747,39.49635,43.48482,35.50788,18:00:15 12 Mar 2018
Adults,3/11/2018,43.23603,49.20794,37.26413,37.52194,43.2176,31.82629,18:00:15 11 Mar 2018
Voters,3/11/2018,47.22894,52.67988,41.778,39.48845,43.51272,35.46417,18:00:18 11 Mar 2018
All polls,3/11/2018,47.17631,52.52515,41.82747,39.49635,43.48482,35.50788,18:00:14 11 Mar 2018
Voters,3/10/2018,47.22894,52.67988,41.778,39.48845,43.51272,35.46417,18:00:17 10 Mar 2018
Adults,3/10/2018,43.23603,49.20794,37.26413,37.52194,43.2176,31.82629,18:00:15 10 Mar 2018
All polls,3/10/2018,47.17631,52.52515,41.82747,39.49635,43.48482,35.50788,18:00:13 10 Mar 2018
Voters,3/9/2018,47.22894,52.67988,41.778,39.48845,43.51272,35.46417,16:26:13  9 Mar 2018
Adults,3/9/2018,43.23603,49.20794,37.26413,37.52194,43.2176,31.82629,16:26:10  9 Mar 2018
